0.011609977,0
0.017414966,0
0.023219955,0
0.029024943,0
0.034829932,0
0.040634921,0
0.046439909,0
0.052244898,0
0.058049887,0
0.063854875,0
0.069659864,0.01,0.01
0.075464853,0.000152422,0.0150223,0.0151747
0.081269841,0.0374399,0.00199858,0.0394385
0.087074830,0.288475,0.0217312,0.310206
0.092879819,0.591297,0.0725934,0.663891
0.098684807,0.405303,0.0994496,0.504752
0.104489796,0.538147,0.0402674,0.578415
0.110294785,0.310145,0.00184923,0.311994
0.116099773,0.18428,2.39935e-5,0.184304
0.121904762,0.147052,2.39917e-5,0.147076
0.127709751,0.131025,7.99895e-6,0.131033
0.133514739,0.184304,0.184304
0.139319728,0.0282269,0.0282269
0.145124717,0.0102059,0.0102059
0.150929705,0.0103515,0.0103515
0.156734694,0.0104544,0.0104544
0.162539683,0.014189,6.30768e-5,0.0142521
0.168344671,0.0440941,0.000447159,0.0445412
0.174149660,0.0807071,0.000735611,0.0814427
0.179954649,0.0932152,0.0183096,0.111525
0.185759637,0.208981,0.068344,0.277325
0.191564626,0.566387,0.121559,0.687946
0.197369615,0.58361,0.0407209,0.624331
0.203174603,0.466431,0.0265494,0.49298
0.208979592,0.391004,0.0226103,0.413615
0.214784580,0.40003,0.0144372,0.414468
0.220589569,0.228342,0.000745929,0.229087
0.226394558,0.202249,0.00339325,0.205642
0.232199546,0.25109,0.00341706,0.254507
0.238004535,0.199569,0.00594504,0.205514
0.243809524,0.163072,0.0464034,0.209476
0.249614512,0.307375,0.115777,0.423152
0.255419501,0.409176,0.142082,0.551258
0.261224490,0.416538,0.175608,0.592146
0.267029478,0.509862,0.246655,0.756517
0.272834467,0.544,0.244496,0.788495
0.278639456,0.490128,0.233063,0.723192
0.284444444,0.502378,0.232362,0.734739
0.290249433,0.514106,0.205943,0.720049
0.296054422,0.547272,0.198141,0.745413
0.301859410,0.598956,0.180802,0.779757
0.307664399,0.525942,0.18606,0.712001
0.313469388,0.477679,0.197179,0.674858
0.319274376,0.416694,0.440871,0.857565
0.325079365,0.457649,0.477033,0.934682
0.330884354,0.490128,0.233063,0.723192
0.336689342,0.513573,0.24031,0.753883
0.342494331,0.641398,0.215414,0.856812
0.348299320,0.560748,0.0201678,0.580916
0.354104308,0.40003,0.0144372,0.414468
0.359909297,0.354564,0.0223489,0.376913
0.365714286,0.258842,0.021368,0.28021
0.371519274,0.338143,0.0859442,0.424087
0.377324263,0.4232,0.137559,0.560758
0.383129252,0.522797,0.143785,0.666582
0.388934240,0.576033,0.168381,0.744414
0.394739229,0.542596,0.180874,0.72347
0.400544218,0.486224,0.178309,0.664532
0.406349206,0.624753,0.14521,0.769964
0.412154195,0.517584,0.0570262,0.57461
0.417959184,0.423939,0.0605226,0.484462
0.423764172,0.457117,0.0346247,0.491741
0.429569161,0.303098,0.00864969,0.311748
0.435374150,0.201498,0.00411519,0.205614
0.441179138,0.203408,0.00226744,0.205676
0.446984127,0.222936,0.00598463,0.22892
0.452789116,0.330975,0.0414493,0.372424
0.458594104,0.409173,0.121174,0.530347
0.464399093,0.50759,0.150286,0.657876
0.470204082,0.55038,0.155979,0.706359
0.476009070,0.596599,3.0089e-6,0.133176,0.729778
0.481814059,0.711781,0.121123,0.832904
0.487619048,0.68281,0.109935,0.792745
0.493424036,0.566387,0.121559,0.687946
0.499229025,0.552289,0.129329,0.681618
0.505034014,0.50759,0.150286,0.657876
0.510839002,0.493966,0.131941,0.625907
0.516643991,0.650818,0.0992949,0.750113
