0.011609977,0
0.017414966,0.01,0.01
0.023219955,0.01,0.01
0.029024943,0
0.034829932,0
0.040634921,0.01,0.01
0.046439909,0.0100884,3.84606e-5,0.0101268
0.052244898,0.00608413,0.033508,0.0395921
0.058049887,2.99945e-6,0.0314919,9.99632e-7,0.0314959
0.063854875,0.0100644,0.0100644
0.069659864,0.01,0.01
0.075464853,0.01,0.01
0.081269841,0.0208742,0.0208742
0.087074830,0.22909,0.22909
0.092879819,0.581667,0.581667
0.098684807,0.857565,0.857565
0.104489796,0.934682,0.934682
0.110294785,0.965021,0.965021
0.116099773,0.987509,0.987509
0.121904762,0.987509,0.987509
0.127709751,0.987509,0.987509
0.133514739,0.987509,0.987509
0.139319728,0.987509,0.987509
0.145124717,0.987509,0.987509
0.150929705,0.999997,0.999997
0.156734694,0.999997,0.999997
0.162539683,0.999997,0.999997
0.168344671,0.999997,0.999997
0.174149660,0.999997,0.999997
0.179954649,0.999997,0.999997
0.185759637,0.999997,0.999997
0.191564626,0.999997,0.999997
0.197369615,0.999997,0.999997
0.203174603,0.999997,0.999997
0.208979592,0.999997,0.999997
0.214784580,0.999997,0.999997
0.220589569,0.999997,0.999997
0.226394558,0.987509,0.987509
0.232199546,0.987509,0.987509
0.238004535,0.987509,0.987509
0.243809524,0.987509,0.987509
0.249614512,0.999997,0.999997
0.255419501,0.999997,0.999997
0.261224490,0.987509,0.987509
0.267029478,0.965021,0.965021
0.272834467,0.857565,0.857565
0.278639456,0.721067,0.721067
0.284444444,0.415011,0.415011
0.290249433,0.37843,0.37843
0.296054422,0.344087,0.344087
0.301859410,0.282174,0.282174
0.307664399,0.391004,0.0226103,0.413615
0.313469388,6.01577e-5,0.350727,0.0256033,0.37639
0.319274376,0.00290276,0.234366,0.0371481,0.274417
0.325079365,0.0014613,0.441622,0.0103967,0.45348
0.330884354,0.000354416,0.672911,0.000748529,0.674013
0.336689342,0.00027278,0.536868,0.000156747,0.537298
0.342494331,1.69881e-5,0.536926,0.000354505,0.537298
0.348299320,9.98877e-7,0.414551,0.00045797,0.41501
0.354104308,2.35502e-5,0.277022,0.00503291,0.282079
0.359909297,0.279341,0.00280429,0.282145
0.365714286,6.49598e-5,0.254402,8.78911e-5,0.254555
0.371519274,0.00225759,0.0896154,1.89221e-6,0.0918749
0.377324263,9.99971e-7,0.044546,0.044547
0.383129252,0.0395921,0.0395921
0.388934240,0.254555,0.254555
0.394739229,0.813707,0.813707
0.400544218,0.965021,0.965021
0.406349206,0.857565,0.857565
0.412154195,0.813707,0.813707
0.417959184,0.767893,0.767893
0.423764172,0.131033,0.131033
0.429569161,0.0814503,0.0814503
0.435374150,0.0254004,0.0254004
0.441179138,0.010002,0.010002
0.446984127,0.0100871,0.0100871
0.452789116,0.0100119,0.0100119
0.458594104,0.010002,0.010002
0.464399093,0.01,0.01
