0.011609977,0
0.017414966,0
0.023219955,0
0.029024943,0
0.034829932,0
0.040634921,0
0.046439909,0
0.052244898,0
0.058049887,0
0.063854875,0
0.069659864,0
0.075464853,0
0.081269841,0
0.087074830,0
0.092879819,0
0.098684807,0
0.104489796,0
0.110294785,0
0.116099773,0
0.121904762,0
0.127709751,0
0.133514739,0
0.139319728,0
0.145124717,0
0.150929705,0
0.156734694,0
0.162539683,0
0.168344671,0
0.174149660,0
0.179954649,0
0.185759637,0
0.191564626,0
0.197369615,0
0.203174603,0
0.208979592,0
0.214784580,0
0.220589569,0
0.226394558,0.01,0.01
0.232199546,0.01,0.01
0.238004535,0.01,0.01
0.243809524,0.01,0.01
0.249614512,0.01,0.01
0.255419501,0.01,0.01
0.261224490,0.010001,0.010001
0.267029478,0.01,0.01
0.272834467,0.0100008,1.6e-7,1.6e-7,1.6e-7,0.0100013
0.278639456,3.33333e-7,3.33333e-7,0.0100003,0.010001
0.284444444,0.010001,0.010001
0.290249433,0.01,0.01
0.296054422,0.01,0.01
0.301859410,0.01,0.01
0.307664399,0.01,0.01
0.313469388,0.01,0.01
0.319274376,0.01,0.01
0.325079365,0.01,0.01
0.330884354,0.01,0.01
0.336689342,0.01,0.01
0.342494331,0.01,0.01
0.348299320,0.01,0.01
0.354104308,0.01,0.01
0.359909297,0.01,0.01
0.365714286,0.01,0.01
0.371519274,0.010001,0.010001
0.377324263,0.01,0.01
0.383129252,0.01,0.01
0.388934240,0.010002,0.010002
0.394739229,0.0100041,6.94445e-7,0.0100048
0.400544218,0.010001,0.010001
0.406349206,0.010001,0.010001
0.412154195,0.010001,0.010001
0.417959184,0.01,0.01
0.423764172,0.01,0.01
0.429569161,0.01,0.01
0.435374150,0.01,0.01
0.441179138,0.01,0.01
0.446984127,0.01,0.01
0.452789116,5e-7,0.010001,2.5e-7,0.0100017
0.458594104,4.34783e-7,0.0100011,9.4518e-8,2.36295e-7,9.4518e-8,9.4518e-8,9.4518e-8,1.41777e-7,0.0100023
0.464399093,6.95652e-7,3.47826e-7,3.47826e-7,6.95652e-7,1.73913e-6,1.73913e-6,1.73913e-6,1.04348e-6,3.47826e-7,6.95652e-7,1.73913e-6,0.0100081,2.41966e-7,3.62949e-7,3.62949e-7,6.04915e-7,0.0100208
0.470204082,2.5e-6,0.0100025,0.0100049
0.476009070,0.01,0.01
0.481814059,0.01,0.01
0.487619048,0.01,0.01
0.493424036,0.01,0.01
0.499229025,0.01,0.01
0.505034014,0.01,0.01
0.510839002,0.01,0.01
0.516643991,0.01,0.01
0.522448980,0.01,0.01
0.528253968,0.01,0.01
0.534058957,0.01,0.01
0.539863946,0.01,0.01
0.545668934,0.01,0.01
0.551473923,0.01,0.01
0.557278912,0.01,0.01
0.563083900,0.01,0.01
0.568888889,6.66667e-7,0.0100013,0.010002
0.574693878,0.0100049,0.0100049
0.580498866,0.01,0.01
0.586303855,0.01,0.01
0.592108844,0.01,0.01
0.597913832,0.01,0.01
0.603718821,0.01,0.01
0.609523810,0.01,0.01
0.615328798,0.01,0.01
0.621133787,0.01,0.01
0.626938776,0.01,0.01
0.632743764,0.01,0.01
0.638548753,0.01,0.01
0.644353741,0.01,0.01
0.650158730,0.01,0.01
0.655963719,0.01,0.01
0.661768707,0.01,0.01
0.667573696,0.01,0.01
0.673378685,0.01,0.01
0.679183673,0.01,0.01
0.684988662,0.01,0.01
0.690793651,0.01,0.01
0.696598639,0.01,0.01
0.702403628,0.01,0.01
0.708208617,0.01,0.01
0.714013605,0.01,0.01
0.719818594,0.01,0.01
0.725623583,0.01,0.01
0.731428571,0.01,0.01
0.737233560,0.01,0.01
0.743038549,0.01,0.01
0.748843537,0.0100005,2.5e-7,0.0100007
0.754648526,0.01,0.01
0.760453515,0.010001,0.010001
0.766258503,0.010001,0.010001
0.772063492,0.01,0.01
0.777868481,0.01,0.01
0.783673469,0.01,0.01
0.789478458,0.01,0.01
0.795283447,0.01,0.01
0.801088435,0.01,0.01
0.806893424,0.01,0.01
0.812698413,0
0.818503401,0.01,0.01
0.824308390,0.01,0.01
0.830113379,0.01,0.01
0.835918367,0.01,0.01
0.841723356,0.01,0.01
0.847528345,0.01,0.01
0.853333333,0.01,0.01
0.859138322,0.01,0.01
0.864943311,0.01,0.01
0.870748299,0.01,0.01
0.876553288,0.01,0.01
0.882358277,0.01,0.01
0.888163265,0.01,0.01
0.893968254,0.01,0.01
0.899773243,0.01,0.01
0.905578231,0.01,0.01
0.911383220,0.01,0.01
0.917188209,0
0.922993197,0.01,0.01
0.928798186,0.01,0.01
0.934603175,0.01,0.01
0.940408163,0.01,0.01
0.946213152,0.01,0.01
0.952018141,0.01,0.01
0.957823129,0.01,0.01
0.963628118,0.01,0.01
0.969433107,0.01,0.01
0.975238095,0.01,0.01
0.981043084,0.01,0.01
0.986848073,0.01,0.01
0.992653061,0
0.998458050,0
1.004263039,0.01,0.01
1.010068027,0.01,0.01
1.015873016,0.01,0.01
1.021678005,0.01,0.01
1.027482993,0.01,0.01
1.033287982,0.01,0.01
1.039092971,0.01,0.01
1.044897959,0.01,0.01
1.050702948,0.01,0.01
1.056507937,0.01,0.01
1.062312925,0.01,0.01
1.068117914,0.01,0.01
1.073922902,0.01,0.01
1.079727891,0.01,0.01
1.085532880,0.01,0.01
1.091337868,0.01,0.01
1.097142857,0.01,0.01
1.102947846,0.01,0.01
1.108752834,0.01,0.01
1.114557823,0.01,0.01
1.120362812,0.01,0.01
1.126167800,0.01,0.01
1.131972789,0.01,0.01
1.137777778,0.01,0.01
1.143582766,0.01,0.01
1.149387755,0.01,0.01
1.155192744,0.01,0.01
1.160997732,0.01,0.01
1.166802721,0.01,0.01
1.172607710,0.01,0.01
1.178412698,0.01,0.01
1.184217687,0.01,0.01
1.190022676,0.01,0.01
1.195827664,0.010001,0.010001
1.201632653,0.01,0.01
1.207437642,0.01,0.01
1.213242630,0.01,0.01
1.219047619,0.01,0.01
1.224852608,0.01,0.01
